Region,Festival,Tradition,Song Name,Author,URL
West India,Diwali,Classical,Raga Dhun,Hari Mansur,https://r.search.yahoo.com/_ylt=Awr1ShX09Zln5gEAByu7HAx.;_ylu=Y29sbwNzZzMEcG9zAzEEdnRpZAMEc2VjA3Ny/RV=2/RE=1739352821/RO=10/RU=https%3a%2f%2fwww.youtube.com%2fwatch%3fv%3dOOsdQixWQ7o/RK=2/RS=3pkE2RLRulr2_R55WkHyt0kHutk-
East India,Bihu,Folk,Ram Katha,Pt. Khan,https://in.video.search.yahoo.com/search/video;_ylt=AwrKDvRk9plnRwIA59a7HAx.;_ylu=Y29sbwNzZzMEcG9zAzEEdnRpZAMEc2VjA3Nj?type=E211IN885G0&p=Ram+Katha+yt&fr=mcafee&turl=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOVP.mexBQ-pMWLhTPblCAWYE8wHgFo%26pid%3DApi%26w%3D296%26h%3D156%26c%3D7%26p%3D0&rurl=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DYquhfYmIrxQ&tit=%E0%A4%B6%E0%A5%8D%E0%A4%B0%E0%A5%80+%E0%A4%B0%E0%A4%BE%E0%A4%AE+%E0%A4%95%E0%A4%A5%E0%A4%BE+%7C+Shri+Ram+Katha+%7C+Day+-+1+%7C+Brahmaleen+Rajeshwaranand+Saraswati+Ji+%7C+Jaipur&pos=01&vid=1e34372979411fd99b74a9d354db6c41&sigr=vpCmOhEwmfPa&sigt=eQlSmNPvbY2z&sigi=mhTKkEv7KRqO
West India,Navratri,Classical,Shri Stuti,Bhimsen Sharma,https://in.video.search.yahoo.com/search/video;_ylt=Awr1VSmO9plnrwIAt2G7HAx.;_ylu=Y29sbwNzZzMEcG9zAzEEdnRpZAMEc2VjA3Nj?type=E211IN885G0&p=Shri+Stuti+yt&fr=mcafee&turl=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOVP.7kn-mDOlzIUgb5hWNU1IPQHgFo%26pid%3DApi%26w%3D296%26h%3D156%26c%3D7%26p%3D0&rurl=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DleVoi6kkp3o&tit=Shree+Ram+Stuti+%7C+Sonika+Sharma+Agarwal+%7C+Ram+Bhajan+%7C+Vickky+Agarwal+%7C+Full+Video+-+Lyrical&pos=01&vid=f7da137ee1be5404c8f1a519a7590122&sigr=TsgI6q6Mf0m.&sigt=AMpIqZy.Rf3Y&sigi=XnxvaBVivLev
South India,Pongal,Devotional,Raga Kirtan,Bhimsen Kulkarni,https://in.video.search.yahoo.com/search/video;_ylt=AwrKGL6u9plncgIAF1K7HAx.;_ylu=Y29sbwNzZzMEcG9zAzEEdnRpZAMEc2VjA3Nj?type=E211IN885G0&p=Raga+Kirtan+yt&fr=mcafee&turl=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOVP.wEhH_bZOyXMuHtyMajQVSwEsDh%26pid%3DApi%26w%3D296%26h%3D156%26c%3D7%26p%3D0&rurl=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DMQyYfS1JTh0&tit=Calcutta+Style+Raga+Kirtan.+Hare+Krishna+%5BOne+Mahamantra+Long%5D+with+VIOLIN&pos=01&vid=67023fea2295c5e80326fdb58ecb490c&sigr=l1IgGYBZ0NxL&sigt=GGMZ1Y0DuXQ1&sigi=v3CxxJUNnK6P
South India,Pongal,Folk,Ganga Aarti,M.S. Joshi,https://in.video.search.yahoo.com/search/video;_ylt=Awr1ShXU9plnCgIAR8e7HAx.;_ylu=Y29sbwNzZzMEcG9zAzEEdnRpZAMEc2VjA3Nj?type=E211IN885G0&p=Ganga+Aarti+yt&fr=mcafee&turl=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOVP.7ny6hxDzpQ1-o-yInZkVyAHgFo%26pid%3DApi%26w%3D296%26h%3D156%26c%3D7%26p%3D0&rurl=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3D5X_cMif5qPM&tit=Ganga+Aarti+%5BFull+HD+Song%5D+with+Lyrics+By+Anuradha+Paudwal&pos=01&vid=54ba3aa2b14949839bf16580c681a974&sigr=8RKIjbuTLUJi&sigt=KY18LlqLu2hM&sigi=18JsvIfYOBdV
South India,Diwali,Devotional,Shri Katha,Kumar Gundecha,https://r.search.yahoo.com/_ylt=AwrKErDy9plnUwIA1zK7HAx.;_ylu=Y29sbwNzZzMEcG9zAzEEdnRpZAMEc2VjA3Ny/RV=2/RE=1739353075/RO=10/RU=https%3a%2f%2fwww.youtube.com%2fchannel%2fUC_LKR0BI2VLsB3aZ7hfY58A/RK=2/RS=xMLMTgmyGybzkjtYvqyUC4JkV7I-
West India,Navratri,Devotional,Om Dhwani,Ustad Amonkar,https://in.video.search.yahoo.com/search/video;_ylt=Awr1VSkv95ln0wIAjz67HAx.;_ylu=Y29sbwNzZzMEcG9zAzEEdnRpZAMEc2VjA3Nj?type=E211IN885G0&p=Om+Dhwani+yt&fr=mcafee&turl=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOVP.Ke9aFKexyBay6RtO4JBa-QEsDh%26pid%3DApi%26w%3D296%26h%3D156%26c%3D7%26p%3D0&rurl=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3D91N07Uqr8RM&tit=Om+Chanting+Music+with+Shankhnaad+%7C+1+Hour+%E0%A4%93%E0%A4%AE+Om+Dhwani+%28%E0%A5%90+%E0%A4%A7%E0%A5%8D%E0%A4%B5%E0%A4%A8%E0%A4%BF%29+%7C+1+hour+OM+chanting+%7C+OM+Chanting&pos=01&vid=d837c397963dd38a3efffa39ead2a365&sigr=u7DVOPVOzEuw&sigt=dgZws8oYjbHu&sigi=_CWF3896jis0
North India,Baisakhi,Classical,Shiv Sangeet,Hari Khan,https://in.video.search.yahoo.com/search/video;_ylt=AwrKGL7q95lnTAIAf5S7HAx.;_ylu=Y29sbwNzZzMEcG9zAzEEdnRpZAMEc2VjA3Nj?type=E211IN885G0&p=Shiv+Sangeet+yt&fr=mcafee&turl=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOVP.TYvIOEFQPlJq7KNpDA6KEAHgFo%26pid%3DApi%26w%3D296%26h%3D156%26c%3D7%26p%3D0&rurl=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DkYFriF5zHMM&tit=%E0%A4%B8%E0%A4%82%E0%A4%AA%E0%A5%82%E0%A4%B0%E0%A5%8D%E0%A4%A3+%E0%A4%B6%E0%A4%BF%E0%A4%B5+%E0%A4%85%E0%A4%AE%E0%A5%83%E0%A4%A4%E0%A4%B5%E0%A4%BE%E0%A4%A3%E0%A5%80+Shiv+Amritwani+Complete+%7C+Anuradha+Paudwal+%7C+Shiv+Amritwani&pos=01&vid=35370f0a0808e8235e39c4918ac8ccaa&sigr=2amawG7yjVpy&sigt=6YdjmT5aBo68&sigi=P8xDhz78wNzM
East India,Durga Puja,Folk,Ganga Katha,Begum Gundecha,https://in.video.search.yahoo.com/search/video;_ylt=AwrKDvQR.JlnLgIATx.7HAx.;_ylu=Y29sbwNzZzMEcG9zAzEEdnRpZAMEc2VjA3Nj?type=E211IN885G0&p=Ganga+Katha+yt&fr=mcafee&turl=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOVP.Aa-QkDJxjXsvGrxofzAEzQHgFo%26pid%3DApi%26w%3D296%26h%3D156%26c%3D7%26p%3D0&rurl=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DsoXy7OkjXSo&tit=%E0%A4%97%E0%A4%82%E0%A4%97%E0%A4%BE+%E0%A4%97%E0%A4%BE%E0%A4%A5%E0%A4%BE+%7C+Ganga+Mata+Ki+Katha+%7C+Khatha+Ganga+Avtaran+%7C%7C+DS+Pal+%7C%7C+Full+Story+Of+Ma+Ganga&pos=01&vid=7ab788f182da9f46d23df0e78fcd5087&sigr=3PLHHeck4quS&sigt=VlRFxzxb1KDS&sigi=9AirBX0X7AoN
North India,Diwali,Folk,Anand Aarti,Ravi Mangeshkar,https://in.video.search.yahoo.com/search/video;_ylt=AwrKDvQy.JlnLgIA_9K7HAx.;_ylu=Y29sbwNzZzMEcG9zAzEEdnRpZAMEc2VjA3Nj?type=E211IN885G0&p=Anand+Aarti+yt&fr=mcafee&turl=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOVP.TtHf-VnKNCXuaRxNEQ4_0wHgFo%26pid%3DApi%26w%3D296%26h%3D156%26c%3D7%26p%3D0&rurl=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DfW3aTmW0J5g&tit=FAST+SHRI+ANANPUR+MORNING+AARTI+%2811MINS+%29+COMPLETE+%E0%A4%B6%E0%A5%8D%E0%A4%B0%E0%A5%80+%E0%A4%86%E0%A4%A8%E0%A4%82%E0%A4%A6%E0%A4%AA%E0%A5%81%E0%A4%B0+%E0%A4%A7%E0%A4%BE%E0%A4%AE+%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%BE%E0%A4%A4%3A+%E0%A4%86%E0%A4%B0%E0%A4%A4%E0%A5%80+%28fast%29&pos=01&vid=0656edc7d4235ec262d2b109c1deb7a5&sigr=G2XSEevN0kEm&sigt=bi2yMt3BZrFd&sigi=fy5Jk5hJN1Jv
